lat,long,address
-80.802569,35.220047,"2301 CENTRAL AVE CHARLOTTE NC 28205"
-80.781693,35.213288,"3058 EASTWAY DR CHARLOTTE NC 28205"
-80.79575,35.192908,"1035 N WENDOVER CHARLOTTE NC 28211"
-80.794014,35.276973,"1201 W SUGAR CREEK RD CHARLOTTE NC 28213"
-80.73578,35.236245,"5800 E WT HARRIS BLVD CHARLOTTE NC 28215"
-80.759386,35.183265,"720 MERIDIAN CENTER CHARLOTTE NC 28212"
-80.738223,35.20342,"6301 ALBEMARLE RD CHARLOTTE NC 28212"
-80.86553,35.201533,"2625 SOUTH BLVD CHARLOTTE NC 28209"
-80.853472,35.269224,"2518 BEATTIES FORD RD CHARLOTTE NC 28216"
-80.850476,35.172459,"4343 PARK RD CHARLOTTE NC 28209"
-80.88444,35.238241,"2745 FREEDOM DR CHARLOTTE NC 28208"
-80.758305,35.295441,"7735 N TRYON ST CHARLOTTE NC 28262"
-80.747959,35.294535,"8121 UNIVERSITY CITY BLVD CHARLOTTE NC 28213"
-80.833018,35.148694,"6428 FAIRVIEW RD CHARLOTTE NC 28210"
-80.886798,35.18451,"4440 S TRYON ST CHARLOTTE NC 28210"
-80.844116,35.308588,"5005 SUNSET LN CHARLOTTE NC 28269"
-80.748236,35.308545,"8900 J M KEYNES DR CHARLOTTE NC 28262"
-80.887593,35.16346,"413 TYVOLA RD CHARLOTTE NC 28217"
-80.689748,35.186929,"9150 LAWYERS RD MINT HILL NC 28227"
-80.738083,35.138592,"1620 SARDIS RD CHARLOTTE NC 28209"
-80.923769,35.228864,"2820 BOYER ST CHARLOTTE NC 28208"
-80.731831,35.138664,"1830 GALLERIA BLVD CHARLOTTE NC 28270"
-80.797482,35.333715,"6225 W SUGAR CREEK RD CHARLOTTE NC 28269"
-80.876026,35.138107,"7051 SOUTH BLVD CHARLOTTE NC 28210"
-80.71371,35.136301,"9607 E INDEPENDENCE BLVD MATTHEWS NC 28105-4627"
-80.856999,35.115771,"8560 PARK ROAD CHARLOTTE NC 28210"
-80.783372,35.097933,"3315 PINEVILLE MATTHEWS RD CHARLOTTE NC 28226"
-80.86129,35.346935,"9414 NORTHLAKE WEST DR CHARLOTTE NC 28216"
-80.929879,35.143923,"8038 S TRYON ST CHARLOTTE NC 28273"
-80.880371,35.107229,"9505 SOUTH BOULEVARD CHARLOTTE NC 28273"
-80.849597,35.087242,"7721 PINEVILLE MATTHEWS RD CHARLOTTE NC 28226"
-80.831151,35.370466,"10249 CANE CREEK DRIVE HUNTERSVILLE NC 28078"
-80.868683,35.089453,"8824 PINEVILLE MATTHEWS RD CHARLOTTE NC 28226"
-80.970072,35.163114,"9320 STEELE CREEK ROAD CHARLOTTE NC 28273"
-80.94444,35.327246,"9725 CALLABRIDGE CT CHARLOTTE NC 28216"
-80.732055,35.373806,"3020 DERITA ROAD CONCORD NC 28027"
-80.712269,35.366858,"7810 LYLES LANE CONCORD NC 28027"
-80.645915,35.322953,"6700 KEE LANE HARRISBURG NC 28075"
-80.696077,35.08567,"4405 POTTER RD STALLINGS NC 28104"
-80.623633,35.141772,"14522 LAWYERS RD MATTHEWS NC 28104"
-80.931408,35.088688,"3490 HIGHWAY 21 FORT MILL SC 29715"
-80.769156,35.052387,"11620 WAVERLY CENTER DRIVE CHARLOTTE NC 28105"
-80.865495,35.40648,"14220 BOREN STREET HUNTERSVILLE NC 28078"
-80.805605,35.037248,"9710 REA ROAD CHARLOTTE NC 28277-6663"
-81.020463,35.288907,"704 S MAIN STREET MT HOLLY NC 28120"
-80.65188,35.076836,"303 UNIONVILLE INDIAN TRAIL RD INDIAN TRAIL NC 28079"
-80.98554,35.103649,"14110 RIVERGATE PARKWAY CHARLOTTE NC 28273"
-81.043179,35.251737,"505 N MAIN ST BELMONT NC 28012-3130"
-80.647553,35.049274,"6501 MONROE ROAD INDIAN TRAIL NC 28079"
-80.765012,35.441695,"12051 RENAISSANCE DRIVE DAVIDSON, NC NC 28036"
-80.851275,35.012617,"10108 CHARLOTTE HIGHWAY FORT MILL SC 29707"
-80.675574,35.420335,"5051 BAYFIELD PKWY KANNAPOLIS NC 28027"
-80.866589,35.44437,"16835 STATESVILLE RD HUNTERSVILLE NC 28078"
-80.992163,35.060334,"2883 S CAROLINA 160 FORT MILL SC 29708"
-80.607731,35.396749,"730 CABARRUS AVE W CONCORD NC 28027"
-80.700492,35.001509,"5925 WEDDINGTON ROAD WESLEY CHAPEL NC 28104"
-80.653349,35.435405,"4550 B DAVIDSON HWY CONCORD NC 28027"
-80.549323,35.371365,"3405 US HIGHWAY 601 S CONCORD NC 28025-0490"
-81.085818,35.119923,"5262 HIGHWAY 557 LAKE WYLIE SC 29710"
-80.607446,35.439975,"1511 HWY 29 N CONCORD NC 28025"
-80.876478,35.483789,"20500 TORRENCE CHAPEL RD CORNELIUS NC 28031"
-81.125185,35.259623,"2998 E FRANKLIN BLVD GASTONIA NC 28054"
-80.997677,35.444439,"171 NC HWY 16 DENVER NC 28037"
-80.756948,34.956807,"2532 CUTHBERTSON RD WAXHAW NC 28173"
-81.133754,35.226838,"1909 HOFFMAN ROAD GASTONIA NC 28056"
-80.458437,35.254851,"1878 W MAIN STREET LOCUST NC 28097"
-80.563887,35.01383,"2406 W ROOSEVELT BLVD MONROE NC 28110"
-80.594651,35.462688,"2420 SUPERCENTER DR NE KANNAPOLIS NC 28083"
-81.15351,35.262747,"1500 E FRANKLIN BLVD GASTONIA NC 28052"
-80.588946,35.465796,"2401 WONDER DR KANNAPOLIS NC 28083"
-80.98774,34.972295,"2600 N CHERRY RD ROCK HILL SC 29730"
-81.004656,34.975931,"1785 MT GALLANT RD ROCK HILL SC 29732"
-81.170375,35.233236,"2115 UNION ROAD GASTONIA NC 28052"
-80.611624,35.490519,"350 S CANNON BLVD KANNAPOLIS NC 28081"
-80.539304,34.992952,"1101 ROOSEVELT BLVD MONROE NC 28110-2817"
-80.977331,34.940455,"1998 DAVE LYLE BLVD ROCK HILL SC 29730"
-81.194545,35.240968,"1700 S YORK ST GASTONIA NC 28052"
-80.855096,35.55475,"107 GATEWAY BLVD MOORESVILLE NC 28115"
-81.190363,35.316472,"3117 DALLAS HI-SHOALS HWY DALLAS NC 28034"
-81.216847,35.25927,"1927 W FRANKLIN BLVD GASTONIA NC 28052"
-81.089854,34.979287,"4875 OLD YORK ROAD ROCK HILL SC 29732"
-81.035508,34.942105,"115 S CHERRY RD ROCK HILL SC 29732"
-81.062045,34.950759,"511 S HERLONG ROCK HILL SC 29732"
-81.226508,35.260908,"223 N MYRTLE SCHOOL ROAD GASTONIA NC 28052"
-80.901278,35.569141,"1090 BRAWLEY SCHOOL ROAD MOORESVILLE NC 28117"
-81.003688,34.914908,"1232 E MAIN ST ROCK HILL SC 29731"
-81.211591,35.107606,"905 BETHEL STREET CLOVER SC 29710-4123"
-80.817316,35.595503,"109 LIMERICK DRIVE MOORESVILLE NC 28115"
-80.865532,35.594225,"497 RIVER HWY MOORESVILLE NC 28115"
-80.448385,34.983005,"4003 US HWY 74 E WINGATE NC 28174"
-81.211946,34.985831,"989 E LIBERTY STREET YORK SC 29745"
-81.209636,35.480249,"2530 E MAIN STREET LINCOLNTON NC 28092"
-81.332612,35.228003,"I-85 AND HWY 161 KINGS MOUNTAIN NC 28086"
-81.237872,35.477093,"1419 E MAIN ST LINCOLNTON NC 28092"
-80.517449,35.608807,"PEELER RD AND LANE PKWY (I85 EXIT 71) SALISBURY NC 28144"
-80.853193,35.670652,"1035 CHARLOTTE HIGHWAY TROUTMAN NC 28166"
-80.41523,35.561655,"8775 HWY 52 (MAIN STREET) ROCKWELL NC 28138"
